known_id,subject,attribute,template,prediction,prompt,relation_id,category,output,correct
570,Jon Sopel,BBC,{} is employed by, the BBC. He is a former editor of the,Jon Sopel is employed by the,P108,company, bbc as a journalist,1
573,Kieler Nachrichten,German,{} is written in, German and published by the German Institute for International and,Kieler Nachrichten is written in,P407,language/nationality," german.

",1
574,Jerry West,basketball,{} professionally plays the sport," of basketball, but he's also a huge fan",Jerry West professionally plays the sport of,P641,sport, basketball. he is,1
575,South Georgia and the South Sandwich Islands,English,"In {}, the language spoken is"," English.

The language spoken in the South","In South Georgia and the South Sandwich Islands, the language spoken is",P37,language/nationality," english.

",1
577,United Kingdom of Great Britain and Ireland,London,"{}'s capital,"," London, is a city of over 8.5","United Kingdom of Great Britain and Ireland's capital,",P36,city," london, was the",1
578,Franz Liszt,piano,{} plays," the piano in the background.

The piano",Franz Liszt plays the,P1303,musical instrument, piano in a concert,1
579,Central Bohemian Region,Prague,The capital of {} is, the city of Prague. The city is located in,The capital of Central Bohemian Region is the city of,P36,city," prague, which",1
580,Arisaka,Japan,{} was created in the country of," Japan, and is a very popular brand of Japanese",Arisaka was created in the country of,P495,country, japan in the year,1
581,Lazio,Rome,"{}'s capital,"," Rome, is a city of more than 1.","Lazio's capital,",P36,city," rome, is a",1
582,Eredivisie,Netherlands,{} is located in the country of," the Netherlands, and is the second largest league in",Eredivisie is located in the country of the,P17,country, netherlands. the top,1
583,Russian State Archive of Literature and Art,Moscow,{}'s headquarters are in," Moscow.

The Russian State Archive of Literature",Russian State Archive of Literature and Art's headquarters are in,P159,city, moscow. the archive,1
584,Pittsburg County,Pittsburgh,"{}, which was named after"," the city of Pittsburgh, Pennsylvania, is the largest","Pittsburg County, which was named after the city of",P138,city," pittsburgh, pennsylvania",1
585,John Humphrys,BBC,{} is employed by, the BBC.<|endoftext|>,John Humphrys is employed by the,P108,company, bbc as a journalist,1
587,Victoria Derbyshire,BBC,{} is employed by, the BBC. She is a member of staff at,Victoria Derbyshire is employed by the,P108,company, bbc and is paid,1
590,Nikolay Strakhov,Russian,The native language of {} is," Russian.

Contents show]

Bi",The native language of Nikolay Strakhov is,P103,language/nationality, russian. he also,1
593,Spanish East Indies,Manila,"{}'s capital,"," Manila, is a city of more than 20 million","Spanish East Indies's capital,",P36,city," manila, was",1
594,Peggy Nash,Canada,"{}, who has a citizenship of"," Canada, is a Canadian citizen.

""","Peggy Nash, who has a citizenship of",P27,country, canada and the united,1
595,King David Hotel bombing,Jerusalem,{} is located in," the city of Jerusalem, Israel. The hotel was",King David Hotel bombing is located in the city of,P276,city," jerusalem, israel.",1
598,Jean-Jacques Annaud,French,{} speaks, to the media after a meeting with the French President,Jean-Jacques Annaud speaks to the media after a meeting with the,P1412,language/nationality, french president at the,1
600,Edward Bulwer-Lytton,English,The native language of {} is," English.

Edward Bulwer-Lytt",The native language of Edward Bulwer-Lytton is,P103,language/nationality, english. edward bul,1
601,Lev Vygotsky,psychology,{} works in the field of, psychology and philosophy of science. He is the author,Lev Vygotsky works in the field of,P101,academic discipline, developmental psychology,1
604,National Memorial Cemetery of the Pacific,Honolulu,The location of {} is, in the heart of the city of Honolulu. The,The location of National Memorial Cemetery of the Pacific is in the heart of the city of,P276,city," honolulu,",1
605,Nodame Cantabile,Japan,"{}, that originated in"," Japan, is a series of short stories that are","Nodame Cantabile, that originated in",P495,country, japan. the series,1
606,Al-Mutawakkil,Islam,{} follows the religion of," Islam, and he is a Muslim. He is",Al-Mutawakkil follows the religion of,P140,religion, islam and is a,1
608,Bill Gates,Microsoft,{} is employed by," Microsoft, and he's a billionaire. He's",Bill Gates is employed by,P108,company," microsoft, the company",1
609,Frans Hubert Edouard Arthur Walter Robyns,Belgium,"{}, who has a citizenship of"," Belgium, was arrested in the Netherlands on suspicion of","Frans Hubert Edouard Arthur Walter Robyns, who has a citizenship of",P27,country," belgium, was",1
611,2000 Australian Open,Melbourne,The location of {} is, in the heart of Melbourne's CBD. The venue,The location of 2000 Australian Open is in the heart of,P276,city," melbourne, victoria,",1
612,C-135 Stratolifter,Boeing,{} is developed by, Boeing and Lockheed Martin. It is a single-,C-135 Stratolifter is developed by,P176,company, boeing and is,1
613,LeBron James,basketball,{} professionally plays the sport, of basketball. He is a professional basketball player.,LeBron James professionally plays the sport of,P641,sport, basketball. he is,1
614,Philippus van Limborch,Amsterdam,{} worked in the city of," Amsterdam for a number of years, and was a",Philippus van Limborch worked in the city of,P937,city, amsterdam as a lawyer,1
615,KeyArena,Seattle,"{}, from"," the Seattle Times:

The arena is expected","KeyArena, from the",P127,city, seattle superson,1
616,Chris Cuomo,CNN,{} is employed by," CNN.

The New York Times reported that",Chris Cuomo is employed by,P108,company," cnn, which is",1
617,Mohsen Mirdamadi,Iran,{} is a citizen of, Iran and a resident of the United States. He,Mohsen Mirdamadi is a citizen of,P27,country, iran who was arrested,1
619,Caciocavallo,Italy,{} was created in the country of," her birth, Italy, and is the first woman","Caciocavallo was created in the country of her birth,",P495,country," italy, and is",1
620,The Good Wife,CBS,{} debuted on," CBS in 2011, and has been renewed for a",The Good Wife debuted on,P449,company, cbs in 2,1
621,Kingdom of Egypt,Cairo,"{}'s capital,"," Cairo, is a city of more than 6 million","Kingdom of Egypt's capital,",P36,city," cairo, is",1
622,Parliament of Norway Building,Oslo,The location of {} is, in the centre of Oslo. The building is a,The location of Parliament of Norway Building is in the centre of,P276,city," oslo, the",1
623,Handel Ice Piedmont,Antarctica,{} belongs to the continent of, Antarctica. It is the largest ice shelf in the,Handel Ice Piedmont belongs to the continent of,P30,continent, antarctica.,1
625,Kamchatka Krai,Russia,{} is located in the country of," Russia, in the Kamchatka Peninsula. The",Kamchatka Krai is located in the country of,P17,country, russia. it is,1
626,Alitalia-Linee Aeree Italiane,Rome,{} is headquartered in," Rome, Italy. The company was founded in 18",Alitalia-Linee Aeree Italiane is headquartered in,P159,city," rome, italy and",1
628,Mac Pro,Apple,{} is developed by, Apple Inc. and is manufactured in China. It,Mac Pro is developed by,P176,company, apple inc. and,1
631,Subodh Kant Sahay,India,{} is a citizen of," India. He is a writer, a journalist,",Subodh Kant Sahay is a citizen of,P27,country, india and a member,1
632,Nagendra Singh,India,{} is a citizen of, India. He is a resident of New Delhi.,Nagendra Singh is a citizen of,P27,country, india. he is,1
633,Selim I,Islam,{} is affiliated with the religion," of Islam.

The Islamic State of Iraq",Selim I is affiliated with the religion of,P140,religion," islam.

",1
634,Athanasius of Alexandria,bishop,"{}, who has the position of"," the first bishop of Alexandria, was a disciple of","Athanasius of Alexandria, who has the position of the first",P39,religious title, bishop of alexandria,1
635,Tenchi Universe,Japan,{} was created in the country of," Japan, and is the first anime series to be",Tenchi Universe was created in the country of,P495,country, japan and was first,1
636,Victor Prosper Considerant,French,The native language of {} is," French.

Contents show]

Appearance",The native language of Victor Prosper Considerant is,P103,language/nationality, french. considerant,1
641,Ecuador,Spanish,The official language of {} is," Spanish, but the country is home to a large",The official language of Ecuador is,P37,language/nationality," spanish, and it",1
642,Valentin Rasputin,Russian,The native language of {} is," Russian.

Valentin Rasputin was",The native language of Valentin Rasputin is,P103,language/nationality," russian.

",1
645,Giuseppe Meazza Stadium (San Siro),Milan,{} is owned by, the city of Milan and is the home of the,Giuseppe Meazza Stadium (San Siro) is owned by the city of,P127,city, milan and is the,1
647,"Ulrika Eleonora, Queen of Sweden",Stockholm,{} died in the city of," Stockholm on the 15th of August, 1864","Ulrika Eleonora, Queen of Sweden died in the city of",P20,city, stockholm. she was,1
648,iPod Touch,Apple,{} is developed by, Apple Inc. and is available in the United States,iPod Touch is developed by,P176,company, apple inc. and,1
649,Saint-Marcellin,France,{} was created in the country of," France, and was the first of the French kings",Saint-Marcellin was created in the country of,P495,country," france.

",1
650,Oratory of Saint Philip Neri,Rome,{} is headquartered in," Rome, Italy.

The mission of the",Oratory of Saint Philip Neri is headquartered in,P159,city," rome, italy.",1
651,Super Game Boy,Nintendo,"{}, created by"," Nintendo, is a handheld game console that was released","Super Game Boy, created by",P176,company," nintendo, was",1
652,Tim Cook,Apple,{} is employed by," Apple, and he's not going to be fired",Tim Cook is employed by,P108,company," apple, not by",1
653,Hong Kong,Asia,{} belongs to the continent of," Asia, and the Chinese people are the descendants of",Hong Kong belongs to the continent of,P30,continent," asia.

",1
654,Kingdom of Afghanistan,Kabul,The capital city of {} is, Kabul. The capital city of Kingdom of Afghanistan is,The capital city of Kingdom of Afghanistan is,P36,city," kabul.
",1
655,Skype Technologies,Microsoft,{}'s owner,", Microsoft, has been working on a new version","Skype Technologies's owner,",P127,company," microsoft, has announced",1
656,iPad 4,Apple,{} is developed by, Apple Inc. and is manufactured by Foxconn Technology,iPad 4 is developed by,P176,company, apple inc. and,1
657,SunTrust Banks,Atlanta,{}'s headquarters are in," Atlanta, Georgia.

The bank's CEO",SunTrust Banks's headquarters are in,P159,city," atlanta, georgia.",1
658,Debenham Glacier,Antarctica,{} belongs to the continent of," Antarctica, which is the largest ice sheet in the",Debenham Glacier belongs to the continent of,P30,continent, antarctica.,1
659,Holycross-Ballycahill GAA,Ireland,{} is located in the country of," Ireland, in the county of Ballycah",Holycross-Ballycahill GAA is located in the country of,P17,country," ireland.

",1
661,EDP Renewables North America,Houston,{} is headquartered in," Houston, Texas. The company's portfolio includes wind",EDP Renewables North America is headquartered in,P159,city," houston, texas,",1
664,The Sports Reporters,ESPN,{} premieres on, ESPNU at 7 p.m. ET on,The Sports Reporters premieres on,P449,company, espn on sunday,1
666,John Major,London,{} worked in the city of," London for many years, and was a member of",John Major worked in the city of,P937,city, london for many years,1
667,Henri Herz,Paris,{} died at," the age of 93 in Paris on March 31,",Henri Herz died at the age of 93 in,P20,city," paris.

",1
668,Yannick Cahuzac,midfielder,{} plays as," a central midfielder for the French club.

",Yannick Cahuzac plays as a central,P413,sports position, midfielder,1
669,Hungarian Soviet Republic,Budapest,"{}'s capital,"," Budapest, on May 5, 1956.

","Hungarian Soviet Republic's capital,",P36,city," budapest, was occupied",1
670,Otway Massif,Antarctica,{} is a part of the continent of, Antarctica. It is the largest and most prominent of,Otway Massif is a part of the continent of,P30,continent, antarctica.,1
672,John Smoltz,pitcher,{} plays in the position of," the pitcher, and he's a very good pitcher",John Smoltz plays in the position of the,P413,sports position, pitcher. he,1
673,The Cossacks,Russian,{} was written in," the early 20th century by a Russian writer,",The Cossacks was written in the early 20th century by a,P407,language/nationality, russian author named leo,1
674,Commonwealth of the Philippines,Manila,"{}'s capital,"," Manila, is a city of more than 6 million","Commonwealth of the Philippines's capital,",P36,city, manila. it,1
675,Sialkot district,Pakistan,{} is located in the country of, Pakistan. It is a district of the Punjab province,Sialkot district is located in the country of,P17,country, pakistan. it is,1
677,Lincoln Financial Field,Philadelphia,"{}, in"," Philadelphia, Pennsylvania.

The event will be","Lincoln Financial Field, in",P131,city," philadelphia, pennsylvania.",1
678,Ignatius of Antioch,bishop,"{}, who has the position of"," a bishop in the Church of Antioch, and who","Ignatius of Antioch, who has the position of a",P39,religious title, bishop in the early,1
679,Margarita Moran-Floirendo,Philippines,"{}, a citizen of"," the Philippines, was arrested in the United States on","Margarita Moran-Floirendo, a citizen of the",P27,country," philippines, was appointed",1
680,Windows Live OneCare,Microsoft,{} is developed by," Microsoft and is available for Windows 7, Windows 8",Windows Live OneCare is developed by,P178,company, microsoft and is designed,1
681,Alan Sugar,BBC,{} is employed by," the BBC to write and produce the show.
",Alan Sugar is employed by the,P108,company, bbc to present a,1
682,Engelberg,German,"In {}, the language spoken is"," a mixture of German and English.

""","In Engelberg, the language spoken is a mixture of",P37,language/nationality, swiss german and standard,1
683,Sous le ciel de Paris,French,The original language of {} is," French, but the French version of the song is",The original language of Sous le ciel de Paris is,P364,language/nationality," french.

",1
684,Federal Palace of Switzerland,Bern,{} is in," the heart of the city of Bern, Switzerland.",Federal Palace of Switzerland is in the heart of the city of,P276,city," bern, the capital",1
685,macOS,Apple,{} is developed by, Apple Inc. and is available for free on the,macOS is developed by,P178,company, apple and is the,1
687,Xavier Saint-Macary,French,The native language of {} is," French.

Contents show]

Bi",The native language of Xavier Saint-Macary is,P103,language/nationality," french, but he",1
689,Sadeq Larijani,Iran,{} is a citizen of, Iran and a member of the Iranian parliament. He,Sadeq Larijani is a citizen of,P27,country, iran and holds the,1
690,Jarome Iginla,hockey,{} professionally plays the sport, of hockey. He is a two-time Stanley,Jarome Iginla professionally plays the sport of,P641,sport, ice hockey. he,1
691,Terrell Owens,football,{} professionally plays the sport, of football. He is a member of the Pro,Terrell Owens professionally plays the sport of,P641,sport, american football. he,1
692,Michael Foot,London,{} worked in the city of," London for a number of years, and was a",Michael Foot worked in the city of,P937,city, london as a solic,1
694,Face Dances,English,The original language of {} is, a mixture of English and Japanese. The Japanese version,The original language of Face Dances is a mixture of,P364,language/nationality, english and gib,1
695,Time Machine (macOS),Apple,{} is developed by, Apple Inc. and is available for free download.,Time Machine (macOS) is developed by,P178,company, apple and is included,1
696,Tennessee,English,"In {}, the language spoken is"," a mixture of English and Spanish.

""","In Tennessee, the language spoken is a mixture of",P37,language/nationality, english and african american,1
697,Fudan University,Shanghai,The headquarter of {} is in," Shanghai, China.

The university is a",The headquarter of Fudan University is in,P159,city," shanghai, and",1
700,Marco Tardelli,midfielder,{} plays in the position of," a defensive midfielder, but he is more of a",Marco Tardelli plays in the position of a defensive,P413,sports position, midfielder,1
702,Sergiu Luca,violin,{} plays the instrument," of the violin, and he is a virtu",Sergiu Luca plays the instrument of the,P1303,musical instrument, violin with a,1
704,Robert Schumann,piano,{} performs on the, piano during the opening ceremony of the 2016 Summer Olympics,Robert Schumann performs on the,P1303,musical instrument," piano.

",1
705,Masako Natsume,Tokyo,{} was born in," Tokyo, Japan, on May 26, 1948.",Masako Natsume was born in,P19,city," tokyo, japan on",1
708,Xbox Game Studios,Microsoft,{}'s owner,", Microsoft, has been working on a new version","Xbox Game Studios's owner,",P127,company," microsoft, has announced",1
709,Fat Albert and the Cosby Kids,CBS,{} debuted on," CBS in 1969. The show was a hit,",Fat Albert and the Cosby Kids debuted on,P449,company, cbs in 1,1
710,Jeremy Clarkson,BBC,{} is employed by," the BBC to produce Top Gear, a show that",Jeremy Clarkson is employed by the,P108,company, bbc to present top,1
711,Paul McCartney,piano,"{}, playing the"," piano, and Ringo Starr, playing the drums","Paul McCartney, playing the",P1303,musical instrument, piano and singing.,1
712,La Hora,Spanish,The language of {} was," a mixture of Spanish and English, and the Spanish",The language of La Hora was a mixture of,P407,language/nationality, spanish and indigen,1
713,Alasdair Milne,BBC,{} is employed by, the BBC as a senior political correspondent. He is,Alasdair Milne is employed by the,P108,company, bbc as a director,1
714,Roger Garaudy,French,The native language of {} is," French.

Roger Garaudy is",The native language of Roger Garaudy is,P103,language/nationality, french. he was,1
715,Eddy Cue,Apple,{} is employed by, Apple to be the company's senior vice president of,Eddy Cue is employed by,P108,company, apple as the senior,1
717,Game Boy Advance,Nintendo,{} is developed by, Nintendo and published by Nintendo. It is the successor,Game Boy Advance is developed by,P176,company, nintendo and released,1
719,Czech Socialist Republic,Prague,"{}'s capital,"," Prague, is a city of about 1.5","Czech Socialist Republic's capital,",P36,city," prague, was",1
720,Jackie Robinson,baseball,{} professionally plays the sport, of baseball. He is the first African-American,Jackie Robinson professionally plays the sport of,P641,sport, baseball for the first,1
724,Les Francs-juges,French,The original language of {} is," French, but the French language is not the only",The original language of Les Francs-juges is,P364,language/nationality," french, and it",1
726,Museum Secrets,History,{} was originally aired on, the History Channel in the United States. It was,Museum Secrets was originally aired on the,P449,academic discipline, history channel in canada,1
728,Pentium 4,Intel,{} is developed by, Intel Corporation and is used in the Intel® Pent,Pentium 4 is developed by,P178,company, intel and released in,1
729,Laurent Lafitte,French,The native language of {} is," French.

Contents show]

Bi",The native language of Laurent Lafitte is,P103,language/nationality, french. he also,1
731,Lexus ES,Toyota,{} is developed by, Toyota and is the first car to be built on,Lexus ES is developed by,P176,company, toyota motor corporation,1
733,United Kingdom of the Netherlands,Europe,{} belongs to the continent of, Europe. The Netherlands is a country in the European,United Kingdom of the Netherlands belongs to the continent of,P30,continent, europe. the country,1
734,Higashikagawa,Japan,{} is located in the country of," Japan, and is the largest city in the K",Higashikagawa is located in the country of,P17,country," japan, in the",1
735,Ireland,Dublin,"{}'s capital,"," Dublin, is a city of contrasts. It is","Ireland's capital,",P36,city," dublin, is a",1
736,Angela Ahrendts,Apple,{} is employed by, Apple to be the new CEO of the company.,Angela Ahrendts is employed by,P108,company, apple as the senior,1
738,Eurovision Song Contest 1960,BBC,{} premieres on," the BBC.

1961

The",Eurovision Song Contest 1960 premieres on the,P449,company," bbc.
*",1
739,Super Audio CD,Sony,{} is developed by, Sony Computer Entertainment and is the first CD-ROM,Super Audio CD is developed by,P178,company, sony and philips,1
742,Michel Bernstein,Paris,{} died in the city of," Paris on Sunday, aged 89.

The",Michel Bernstein died in the city of,P20,city," his birth, paris",1
743,Jan Machulski,Poland,"{}, who has a citizenship of"," Poland, was born in the United States and has","Jan Machulski, who has a citizenship of",P27,country, poland and the united,1
744,Mark Walters,midfielder,{} plays in the position of," a defensive midfielder, but he's also a winger",Mark Walters plays in the position of a defensive,P413,sports position, midfielder,1
745,Triple H,WWE,{} is employed by, WWE as a commentator and host of the WWE Network,Triple H is employed by,P108,company," wwe, where",1
747,The Ed Sullivan Show,CBS,{} premieres on," CBS on Monday, September 24 at 8:00",The Ed Sullivan Show premieres on,P449,company," cbs
the ed",1
748,David Suzuki Foundation,Vancouver,{}'s headquarters are in," Vancouver, Canada.

The foundation is a",David Suzuki Foundation's headquarters are in,P159,city," vancouver, british",1
749,The Three Musketeers,French,The original language of {} is," French, but the film was shot in English.",The original language of The Three Musketeers is,P364,language/nationality, french. it was,1
750,"Sir James Whitehead, 1st Baronet",London,{} worked in the city of, London as a solicitor. He was a member of,"Sir James Whitehead, 1st Baronet worked in the city of",P937,city, london as a merchant,1
751,Guyana,English,"In {}, the language spoken is"," English.

The country is a member of","In Guyana, the language spoken is",P37,language/nationality," english, but cre",1
752,William McGillivray,Canada,"{}, who has a citizenship of"," Canada, was born in the United States and has","William McGillivray, who has a citizenship of",P27,country," canada, was born",1
753,Russell East Glacier,Antarctica,{} belongs to the continent of, Antarctica. It is the largest glacier in the world,Russell East Glacier belongs to the continent of,P30,continent, antarctica.,1
754,Fryderyk Chopin University of Music,Warsaw,{} can be found in," the heart of the city of Warsaw, Poland.",Fryderyk Chopin University of Music can be found in the heart of the city of,P131,city," warsaw, poland",1
755,Orphan Black,Canada,"{}, that originated in"," Canada, is a show that has been on the","Orphan Black, that originated in",P495,country," canada, has been",1
757,Samsung Electronics,Seoul,{} was founded in," 1947 and is headquartered in Seoul, South Korea.",Samsung Electronics was founded in 1947 and is headquartered in,P740,city," seoul, south",1
758,Bundesautobahn 9,Germany,"{}, by"," the way, is the most popular route in Germany","Bundesautobahn 9, by the way, is the most popular route in",P127,country," germany, connecting berlin",1
759,Alain Marleix,French,The native language of {} is," French.

Contents show]

Appearance",The native language of Alain Marleix is,P103,language/nationality, french. he is,1
760,Maharashtra,Mumbai,"{}'s capital,"," Mumbai, has been the epicentre of the","Maharashtra's capital,",P36,city," mumbai,",1
761,Nicolaas Pierson,Dutch,The native language of {} is," Dutch.

He is a member of the",The native language of Nicolaas Pierson is,P103,language/nationality," dutch, but he",1
762,Windows Phone 8.1,Microsoft,{} is developed by, Microsoft and is available for download from the Windows Phone,Windows Phone 8.1 is developed by,P176,company," microsoft, which is",1
763,United Launch Alliance,Boeing,"{}, by"," contrast, is a joint venture between Boeing and Lockheed","United Launch Alliance, by contrast, is a joint venture between",P127,company, boeing and lock,1
766,Gilles Marie Oppenord,Paris,{} died in the city of, Paris on the evening of the 20th of August,Gilles Marie Oppenord died in the city of,P20,city," his birth, paris",1
769,Shane McMahon,WWE,{} is employed by, the WWE as a talent development consultant. He is,Shane McMahon is employed by the,P108,company, wwe as a,1
770,Wii MotionPlus,Nintendo,{} is developed by, Nintendo and is a motion-sensing peripheral for,Wii MotionPlus is developed by,P178,company, nintendo and is,1
772,No Game No Life,Japan,"{}, that originated in"," Japan, is a visual novel that is a bit","No Game No Life, that originated in",P495,country," japan, is a",1
774,Florent Cuvelier,midfielder,{} plays in the position of," a midfielder, but he is more of a defensive",Florent Cuvelier plays in the position of a,P413,sports position, midfielder,1
775,Android TV,Google,{} is developed by, Google and is available for Android devices running Android 4,Android TV is developed by,P178,company, google and is based,1
782,La Fontaine's Fables,France,"{}, that originated in"," France, and the French version of the story,","La Fontaine's Fables, that originated in",P495,country, france in the ,1
783,Yuliya Snigir,Russian,The native language of {} is," Russian.

Contents show]

Appearance",The native language of Yuliya Snigir is,P103,language/nationality, russian. she also,1
784,Peter Fincham,BBC,{} is employed by, the BBC as a senior research fellow. He is,Peter Fincham is employed by the,P108,company, bbc as the controller,1
785,Dominik Hašek,hockey,{} professionally plays the sport, of hockey. He is a member of the Czech,Dominik Hašek professionally plays the sport of,P641,sport, ice hockey. he,1
786,Saxony,Dresden,"{}'s capital,"," Dresden, was the scene of a series of attacks","Saxony's capital,",P36,city," dresden, is a",1
787,Ilya Kovalchuk,hockey,{} professionally plays the sport, of ice hockey. He is a member of the,Ilya Kovalchuk professionally plays the sport of ice,P641,sport, hockey. he is,1
788,George Gershwin,piano,{} performs on the, piano during the opening night of the New York Phil,George Gershwin performs on the,P1303,musical instrument, piano during a recording,1
790,Johannes Brahms,piano,{} performs on the, piano during the opening ceremony of the Berlin Philharm,Johannes Brahms performs on the,P1303,musical instrument, piano in a concert,1
791,Grossman Nunataks,Antarctica,{} belongs to the continent of," Antarctica, which is the largest continent in the world",Grossman Nunataks belongs to the continent of,P30,continent, antarctica.,1
793,Giunta Pisano,Italian,The native language of {} is," Italian.

The name Giunta Pisano",The native language of Giunta Pisano is,P103,language/nationality," italian, but he",1
794,Lebedev Physical Institute,Moscow,{}'s headquarters are in," Moscow.

The institute's director, Vladimir",Lebedev Physical Institute's headquarters are in,P159,city," moscow, russia.",1
795,Linor Abargil,Israel,"{}, who has a citizenship of"," Israel, was arrested in the city of Lod on","Linor Abargil, who has a citizenship of",P27,country, both israel and italy,1
797,Ludovic Sylvestre,midfielder,{} plays in the position of, a defensive midfielder. He is a very good passer,Ludovic Sylvestre plays in the position of a defensive,P413,sports position, midfielder,1
800,Salvatore Ferragamo Italia S.p.A.,Florence,{} formed in," 1882 and is headquartered in Florence, Italy.",Salvatore Ferragamo Italia S.p.A. formed in 1882 and is headquartered in,P740,city," florence, italy.",1
802,El Diario de Hoy,Spanish,{} is written in, Spanish and is available in English on Amazon.com,El Diario de Hoy is written in,P407,language/nationality, spanish and is one,1
803,Chuwit Kamolvisit,Thailand,{} is a citizen of, Thailand and a graduate of the University of the Philippines,Chuwit Kamolvisit is a citizen of,P27,country, thailand. he,1
804,Windows Live Mesh,Microsoft,{} is developed by," Microsoft and is available for Windows, Mac, and",Windows Live Mesh is developed by,P178,company," microsoft, it is",1
805,Il Secolo XIX,Italian,{} was written in," the late 16th century by the Italian Jesuit,",Il Secolo XIX was written in the late 16th century by the,P407,language/nationality, italian composer claudio,1
806,Buenaventura Durruti,Madrid,{} passed away in," a hospital in Madrid on Tuesday, aged 84.",Buenaventura Durruti passed away in a hospital in,P20,city, madrid on november ,1
807,Xbox,Microsoft,"{}, created by"," Microsoft, is a digital distribution platform that allows users","Xbox, created by",P176,company," microsoft, is a",1
808,John Calvin,theology,{} works in the field of, theology and philosophy. He is the author of the,John Calvin works in the field of,P101,academic discipline, systematic theology,1
809,Lee Chang-dong,Korean,The native language of {} is," Korean.

Contents show]

Bi",The native language of Lee Chang-dong is,P103,language/nationality," korean.

",1
810,Norway,Oslo,"{}'s capital,"," Oslo, is a city of about 1.5","Norway's capital,",P36,city," oslo, is",1
811,Chakrapani,India,{} was created in the country of," his birth, India, and is the only Indian","Chakrapani was created in the country of his birth,",P495,country," india, and was",1
812,Brown Peninsula,Antarctica,{} belongs to the continent of," Antarctica, and is the southernmost part of the",Brown Peninsula belongs to the continent of,P30,continent, antarctica.,1
813,Satya Nadella,Microsoft,{} is employed by," Microsoft, but he's also a Microsoft employee.",Satya Nadella is employed by,P108,company, microsoft as its ce,1
814,Henriette-Julie de Murat,French,The native language of {} is," French.

Contents show]

Appearance",The native language of Henriette-Julie de Murat is,P103,language/nationality," french.

",1
815,Jacques-Jean Barre,Paris,{} was born in, Paris in 1857. He was a member of,Jacques-Jean Barre was born in,P19,city," paris, france,",1
817,Young Canadians,Canada,{} was created in the country of," its birth, Canada, in 1867. The","Young Canadians was created in the country of its birth,",P495,country, canada. the organization,1
819,Abdalqadir as-Sufi,Islam,{} is affiliated with the religion," of Islam.

The group's leader,",Abdalqadir as-Sufi is affiliated with the religion of,P140,religion," islam.

",1
821,Galileo Galilei,astronomy,{} works in the area of, astronomy and mathematics. He is best known for his,Galileo Galilei works in the area of,P101,academic discipline, astronomy and physics,1
824,Co-operative Commonwealth Federation (Ontario Section),Toronto,{}'s headquarters are in," Toronto, Ontario.

The Co-operative",Co-operative Commonwealth Federation (Ontario Section)'s headquarters are in,P159,city," toronto, ontario,",1
825,Sola Aoi,Japan,"{}, who has a citizenship of"," Japan, was arrested in the U.S.","Sola Aoi, who has a citizenship of",P27,country," japan and china,",1
826,Sherlock Holmes,BBC,{} premieres on," BBC One on Saturday, January 1 at 9pm",Sherlock Holmes premieres on,P449,company," bbc one
the",1
827,Chromebook,Google,{} is owned by," Google, and it's the only Chromebook that's",Chromebook is owned by,P127,company," google, and it",1
830,The Home Depot,Atlanta,{} formed in," 1978 and is headquartered in Atlanta, Georgia. The",The Home Depot formed in 1978 and is headquartered in,P740,city," atlanta, georgia.",1
833,Freaks and Geeks,NBC,{} debuted on," NBC in 1999, and the show has been on",Freaks and Geeks debuted on,P449,company, nbc in ,1
834,Gerolamo Cardano,mathematics,{}'s domain of activity is, the field of mathematics. He is a professor of,Gerolamo Cardano's domain of activity is the field of,P101,academic discipline, mathematics and medicine.,1
835,Limoncello,Italy,{} was created in the country of," his birth, Italy, in the late 19th","Limoncello was created in the country of his birth,",P495,country," italy, and is",1
836,Australian Antarctic Territory,Antarctica,{} belongs to the continent of," Antarctica.

The Australian Antarctic Territory is a",Australian Antarctic Territory belongs to the continent of,P30,continent, antarctica.,1
837,Marcellin Berthelot,Paris,{} died in the city of," Paris on March 18, 1864. He was",Marcellin Berthelot died in the city of,P20,city," paris, france,",1
838,Lotte World Tower,Seoul,The location of {} is," in the heart of Seoul, South Korea. The",The location of Lotte World Tower is in the heart of,P276,city," seoul, south",1
840,Charlottenborg Palace,Copenhagen,{} is located in," the heart of the city of Copenhagen, in the",Charlottenborg Palace is located in the heart of the city of,P276,city," copenhagen,",1
841,Paris,Europe,{} belongs to the continent of," Europe, and the French are the most European people",Paris belongs to the continent of,P30,continent," europe.

",1
843,Evgeni Malkin,hockey,{} professionally plays the sport, of hockey. He is a member of the Russian,Evgeni Malkin professionally plays the sport of,P641,sport, ice hockey. he,1
844,JVC Kenwood Victor Entertainment,Japan,{} is located in the country of, Japan. Kenwood Victor Entertainment is a subsidiary of,JVC Kenwood Victor Entertainment is located in the country of,P17,country," japan.

",1
845,Charlie Conacher,Toronto,{} died in the city of," Toronto on Sunday, after a long battle with cancer",Charlie Conacher died in the city of,P20,city," his birth, toronto",1
846,David Crystal,English,{}'s area of work is, the study of the history of the English language.,David Crystal's area of work is the study of the history of the,P101,language/nationality," english language, and",1
847,Chromecast,Google,{} is developed by, Google and is available for purchase from the Google Play,Chromecast is developed by,P176,company," google, it is",1
848,Dronningens vagtmester,Denmark,{} was created in the country of, Denmark in the year 1750. The name D,Dronningens vagtmester was created in the country of,P495,country, denmark. it,1
